ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,AP900912-0061,COSINE.TXT,0.26733,0.34177,0.3,1
ROUGE-1,AP890901-0154,COSINE.TXT,0.41748,0.39815,0.40758,1
ROUGE-1,FT924-11880,COSINE.TXT,0.33645,0.32143,0.32877,1
ROUGE-1,WSJ891030-0101,COSINE.TXT,0.38532,0.34426,0.36364,1
ROUGE-1,SJMN91-06171095,COSINE.TXT,0.40952,0.3209,0.35983,1
ROUGE-1,AP890525-0127,COSINE.TXT,0.60577,0.29717,0.39873,1
ROUGE-1,FT931-2934,COSINE.TXT,0.49524,0.4031,0.44444,1
ROUGE-1,AP890831-0158,COSINE.TXT,0.30693,0.36905,0.33514,1
ROUGE-1,AP900714-0083,COSINE.TXT,0.34286,0.34615,0.3445,1
ROUGE-1,SJMN91-06339143,COSINE.TXT,0.47321,0.43802,0.45494,1
ROUGE-1,AP880711-0197,COSINE.TXT,0.38095,0.28571,0.32653,1
ROUGE-1,WSJ891026-0063,COSINE.TXT,0.25893,0.27885,0.26852,1
ROUGE-1,AP900625-0289,COSINE.TXT,0.61321,0.58036,0.59633,1
ROUGE-1,WSJ910228-0028,COSINE.TXT,0.29245,0.25203,0.27074,1
ROUGE-1,SJMN91-06167046,COSINE.TXT,0.36275,0.29839,0.32743,1
ROUGE-1,WSJ900718-0065,COSINE.TXT,0.18018,0.4878,0.26316,1
ROUGE-1,WSJ890817-0069,COSINE.TXT,0.01869,0.2,0.03419,1
ROUGE-1,AP890322-0078,COSINE.TXT,0.32407,0.47297,0.38462,1
ROUGE-1,WSJ911227-0037,COSINE.TXT,0.30841,0.26613,0.28571,1
ROUGE-1,WSJ870918-0042,COSINE.TXT,0.5534,0.35404,0.43182,1
ROUGE-1,FT921-8958,COSINE.TXT,0.47917,0.28571,0.35798,1
ROUGE-1,AP891125-0090,COSINE.TXT,?,?,0,0
ROUGE-1,AP890228-0019,COSINE.TXT,0.41667,0.39216,0.40404,1
ROUGE-1,WSJ880701-0160,COSINE.TXT,0.44681,0.27451,0.34008,1
ROUGE-1,SJMN91-06134118,COSINE.TXT,0.27451,0.24561,0.25926,1
ROUGE-1,AP890127-0271,COSINE.TXT,0.52885,0.30387,0.38596,1
ROUGE-1,AP890814-0049,COSINE.TXT,0.45455,0.52885,0.48889,1
ROUGE-1,FT924-11508,COSINE.TXT,0.47748,0.32919,0.38971,1
ROUGE-1,AP890914-0207,COSINE.TXT,0.42718,0.4,0.41315,1
ROUGE-1,FT941-15870,COSINE.TXT,0.35484,0.21711,0.26939,1
ROUGE-1,SJMN91-06154062,COSINE.TXT,?,?,0,0
ROUGE-1,WSJ911016-0124,COSINE.TXT,0.39,0.33913,0.36279,1
ROUGE-1,AP890519-0070,COSINE.TXT,0.40777,0.31343,0.35443,1
ROUGE-1,FT922-10715,COSINE.TXT,0.41176,0.2,0.26923,1
ROUGE-1,SJMN91-06067095,COSINE.TXT,0.36275,0.30081,0.32889,1
ROUGE-1,AP900601-0099,COSINE.TXT,0.72897,0.60465,0.66102,1
ROUGE-1,SJMN91-06189077,COSINE.TXT,0.36634,0.25874,0.30328,1
ROUGE-1,AP881022-0011,COSINE.TXT,0.51546,0.30303,0.38168,1
ROUGE-1,WSJ911016-0126,COSINE.TXT,0.46729,0.35211,0.40161,1
ROUGE-1,AP901213-0236,COSINE.TXT,0.43689,0.3,0.35573,1
ROUGE-1,SJMN91-06070029,COSINE.TXT,0.25234,0.21094,0.22979,1
ROUGE-1,AP901210-0077,COSINE.TXT,0.40741,0.48889,0.44444,1
ROUGE-1,WSJ910222-0008,COSINE.TXT,0.27619,0.26126,0.26852,1
ROUGE-1,SJMN91-06081020,COSINE.TXT,0.31776,0.3301,0.32381,1
ROUGE-1,SJMN91-06081262,COSINE.TXT,0.38835,0.30075,0.33898,1
ROUGE-1,AP900312-0193,COSINE.TXT,0.36275,0.27612,0.31356,1
ROUGE-1,AP900529-0104,COSINE.TXT,0.37255,0.26573,0.3102,1
ROUGE-1,WSJ911004-0115,COSINE.TXT,0.17117,0.51351,0.25676,1
ROUGE-1,AP900331-0064,COSINE.TXT,0.51961,0.67089,0.58564,1
ROUGE-1,WSJ911224-0095,COSINE.TXT,0.32323,0.3299,0.32653,1
ROUGE-1,WSJ911204-0162,COSINE.TXT,0.23636,0.35135,0.28261,1
ROUGE-1,SJMN91-06165057,COSINE.TXT,0.56311,0.35583,0.43609,1
ROUGE-1,FT922-10026,COSINE.TXT,0.4955,0.37162,0.42471,1
ROUGE-1,SJMN91-06270171,COSINE.TXT,0.49524,0.38519,0.43333,1
ROUGE-1,SJMN91-06339016,COSINE.TXT,0.49057,0.4,0.44068,1
ROUGE-1,WSJ870915-0116,COSINE.TXT,0.39048,0.38679,0.38863,1
ROUGE-1,WSJ920302-0142,COSINE.TXT,0.3211,0.38462,0.35,1
ROUGE-1,AP890809-0205,COSINE.TXT,0.44762,0.37903,0.41048,1
ROUGE-1,AP890719-0134,COSINE.TXT,0.34951,0.375,0.36181,1
ROUGE-1,AP900608-0009,COSINE.TXT,0.43548,0.34177,0.38298,1
ROUGE-1,WSJ911011-0071,COSINE.TXT,0.40187,0.22513,0.28859,1
ROUGE-1,WSJ900419-0016,COSINE.TXT,0.31193,0.3301,0.32075,1
ROUGE-1,AP900529-0169,COSINE.TXT,0.5,0.44444,0.47059,1
ROUGE-1,WSJ910227-0075,COSINE.TXT,0.29808,0.32292,0.31,1
ROUGE-1,AP880908-0264,COSINE.TXT,0.48276,0.38095,0.42586,1
ROUGE-1,SJMN91-06170249,COSINE.TXT,0.41584,0.33333,0.37004,1
ROUGE-1,SJMN91-06203128,COSINE.TXT,0.4381,0.34074,0.38333,1
