ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,AP900912-0061,COSINE.TXT,0.21782,0.32836,0.2619,1
ROUGE-1,AP890901-0154,COSINE.TXT,0.27184,0.34146,0.3027,1
ROUGE-1,FT924-11880,COSINE.TXT,0.28972,0.31959,0.30392,1
ROUGE-1,WSJ891030-0101,COSINE.TXT,0.30275,0.51562,0.3815,1
ROUGE-1,SJMN91-06171095,COSINE.TXT,0.37143,0.40625,0.38806,1
ROUGE-1,AP890525-0127,COSINE.TXT,0.44231,0.31081,0.36508,1
ROUGE-1,FT931-2934,COSINE.TXT,0.50476,0.36552,0.424,1
ROUGE-1,AP890831-0158,COSINE.TXT,0.58416,0.57282,0.57843,1
ROUGE-1,AP900714-0083,COSINE.TXT,0.29524,0.36471,0.32632,1
ROUGE-1,SJMN91-06339143,COSINE.TXT,0.4375,0.53846,0.48276,1
ROUGE-1,AP880711-0197,COSINE.TXT,0.32381,0.32381,0.32381,1
ROUGE-1,WSJ891026-0063,COSINE.TXT,0.20536,0.2875,0.23958,1
ROUGE-1,AP900625-0289,COSINE.TXT,0.50943,0.63529,0.56545,1
ROUGE-1,WSJ910228-0028,COSINE.TXT,0.26415,0.39437,0.31638,1
ROUGE-1,SJMN91-06167046,COSINE.TXT,0.32353,0.3,0.31132,1
ROUGE-1,WSJ900718-0065,COSINE.TXT,0.10811,0.375,0.16783,1
ROUGE-1,WSJ890817-0069,COSINE.TXT,0.01869,0.18182,0.0339,1
ROUGE-1,AP890322-0078,COSINE.TXT,0.32407,0.44872,0.37634,1
ROUGE-1,WSJ911227-0037,COSINE.TXT,0.39252,0.40777,0.4,1
ROUGE-1,WSJ870918-0042,COSINE.TXT,0.31068,0.4507,0.36782,1
ROUGE-1,FT921-8958,COSINE.TXT,0.52083,0.41667,0.46296,1
ROUGE-1,AP891125-0090,COSINE.TXT,?,?,0,0
ROUGE-1,AP890228-0019,COSINE.TXT,0.38542,0.41111,0.39785,1
ROUGE-1,WSJ880701-0160,COSINE.TXT,0.15957,0.20548,0.17964,1
ROUGE-1,SJMN91-06134118,COSINE.TXT,0.2451,0.26316,0.25381,1
ROUGE-1,AP890127-0271,COSINE.TXT,0.53846,0.39161,0.45344,1
ROUGE-1,AP890814-0049,COSINE.TXT,0.38843,0.50538,0.43925,1
ROUGE-1,FT924-11508,COSINE.TXT,0.54054,0.3871,0.45113,1
ROUGE-1,AP890914-0207,COSINE.TXT,0.45631,0.43119,0.4434,1
ROUGE-1,FT941-15870,COSINE.TXT,0.35484,0.25191,0.29464,1
ROUGE-1,SJMN91-06154062,COSINE.TXT,?,?,0,0
ROUGE-1,WSJ911016-0124,COSINE.TXT,0.32,0.29907,0.30918,1
ROUGE-1,AP890519-0070,COSINE.TXT,0.41748,0.3209,0.36287,1
ROUGE-1,FT922-10715,COSINE.TXT,0.43137,0.22798,0.29831,1
ROUGE-1,SJMN91-06067095,COSINE.TXT,0.35294,0.29508,0.32143,1
ROUGE-1,AP900601-0099,COSINE.TXT,0.59813,0.55652,0.57658,1
ROUGE-1,SJMN91-06189077,COSINE.TXT,0.28713,0.29592,0.29146,1
ROUGE-1,AP881022-0011,COSINE.TXT,0.47423,0.2875,0.35798,1
ROUGE-1,WSJ911016-0126,COSINE.TXT,0.34579,0.31356,0.32889,1
ROUGE-1,AP901213-0236,COSINE.TXT,0.37864,0.33333,0.35455,1
ROUGE-1,SJMN91-06070029,COSINE.TXT,0.21495,0.27059,0.23958,1
ROUGE-1,AP901210-0077,COSINE.TXT,0.51852,0.57143,0.54369,1
ROUGE-1,WSJ910222-0008,COSINE.TXT,0.20952,0.30556,0.24859,1
ROUGE-1,SJMN91-06081020,COSINE.TXT,0.28972,0.34444,0.31472,1
ROUGE-1,SJMN91-06081262,COSINE.TXT,0.23301,0.32877,0.27273,1
ROUGE-1,AP900312-0193,COSINE.TXT,0.32353,0.32353,0.32353,1
ROUGE-1,AP900529-0104,COSINE.TXT,0.36275,0.27007,0.30962,1
ROUGE-1,WSJ911004-0115,COSINE.TXT,0.12613,0.5,0.20144,1
ROUGE-1,AP900331-0064,COSINE.TXT,0.44118,0.55556,0.4918,1
ROUGE-1,WSJ911224-0095,COSINE.TXT,0.10101,0.19231,0.13245,1
ROUGE-1,WSJ911204-0162,COSINE.TXT,0.08182,0.36,0.13333,1
ROUGE-1,SJMN91-06165057,COSINE.TXT,0.51456,0.41732,0.46087,1
ROUGE-1,FT922-10026,COSINE.TXT,0.54955,0.44526,0.49194,1
ROUGE-1,SJMN91-06270171,COSINE.TXT,0.34286,0.29508,0.31718,1
ROUGE-1,SJMN91-06339016,COSINE.TXT,0.48113,0.35417,0.408,1
ROUGE-1,WSJ870915-0116,COSINE.TXT,0.33333,0.36842,0.35,1
ROUGE-1,WSJ920302-0142,COSINE.TXT,0.3211,0.48611,0.38674,1
ROUGE-1,AP890809-0205,COSINE.TXT,0.33333,0.33019,0.33175,1
ROUGE-1,AP890719-0134,COSINE.TXT,0.38835,0.35714,0.37209,1
ROUGE-1,AP900608-0009,COSINE.TXT,0.40323,0.36765,0.38462,1
ROUGE-1,WSJ911011-0071,COSINE.TXT,0.28972,0.32292,0.30542,1
ROUGE-1,WSJ900419-0016,COSINE.TXT,0.27523,0.29703,0.28571,1
ROUGE-1,AP900529-0169,COSINE.TXT,0.45192,0.35606,0.39831,1
ROUGE-1,WSJ910227-0075,COSINE.TXT,0.125,0.52,0.20155,1
ROUGE-1,AP880908-0264,COSINE.TXT,0.37931,0.42718,0.40183,1
ROUGE-1,SJMN91-06170249,COSINE.TXT,0.29703,0.28302,0.28986,1
ROUGE-1,SJMN91-06203128,COSINE.TXT,0.37143,0.37143,0.37143,1
ROUGE-1,SJMN91-06184088,COSINE.TXT,0.52381,0.37415,0.43651,1
ROUGE-1,AP881104-0268,COSINE.TXT,0.40741,0.42718,0.41706,1
ROUGE-1,AP900714-0029,COSINE.TXT,0.17143,0.34615,0.2293,1
ROUGE-1,WSJ910627-0102,COSINE.TXT,0.16964,0.44186,0.24516,1
ROUGE-1,AP880316-0208,COSINE.TXT,0.33036,0.44578,0.37949,1
ROUGE-1,AP900418-0106,COSINE.TXT,0.43269,0.42056,0.42654,1
ROUGE-1,SJMN91-06187248,COSINE.TXT,0.31683,0.31683,0.31683,1
ROUGE-1,SJMN91-06193239,COSINE.TXT,0.31,0.29524,0.30244,1
ROUGE-1,AP890404-0260,COSINE.TXT,0.21101,0.28049,0.24084,1
