ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,AP900912-0061,COSINE.TXT,0.26733,0.2126,0.23684,1
ROUGE-1,AP890901-0154,COSINE.TXT,0.49515,0.54839,0.52041,1
ROUGE-1,FT924-11880,COSINE.TXT,0.34579,0.32743,0.33636,1
ROUGE-1,WSJ891030-0101,COSINE.TXT,0.29358,0.24427,0.26667,1
ROUGE-1,SJMN91-06171095,COSINE.TXT,0.57143,0.3871,0.46154,1
ROUGE-1,AP890525-0127,COSINE.TXT,0.56731,0.30412,0.39597,1
ROUGE-1,FT931-2934,COSINE.TXT,0.49524,0.32911,0.39544,1
ROUGE-1,AP890831-0158,COSINE.TXT,0.31683,0.42667,0.36364,1
ROUGE-1,AP900714-0083,COSINE.TXT,0.53333,0.43411,0.47863,1
ROUGE-1,SJMN91-06339143,COSINE.TXT,0.38393,0.33077,0.35537,1
ROUGE-1,AP880711-0197,COSINE.TXT,0.45714,0.43636,0.44651,1
ROUGE-1,WSJ891026-0063,COSINE.TXT,0.24107,0.27273,0.25592,1
ROUGE-1,AP900625-0289,COSINE.TXT,0.62264,0.78571,0.69474,1
ROUGE-1,WSJ910228-0028,COSINE.TXT,0.31132,0.30275,0.30698,1
ROUGE-1,SJMN91-06167046,COSINE.TXT,0.36275,0.29839,0.32743,1
ROUGE-1,WSJ900718-0065,COSINE.TXT,0.26126,0.45312,0.33143,1
ROUGE-1,WSJ890817-0069,COSINE.TXT,0.02804,0.27273,0.05085,1
ROUGE-1,AP890322-0078,COSINE.TXT,0.40741,0.48352,0.44221,1
ROUGE-1,WSJ911227-0037,COSINE.TXT,0.31776,0.28099,0.29825,1
ROUGE-1,WSJ870918-0042,COSINE.TXT,0.48544,0.29762,0.369,1
ROUGE-1,FT921-8958,COSINE.TXT,0.42708,0.25625,0.32031,1
ROUGE-1,AP891125-0090,COSINE.TXT,?,?,0,0
ROUGE-1,AP890228-0019,COSINE.TXT,0.39583,0.43182,0.41304,1
ROUGE-1,WSJ880701-0160,COSINE.TXT,0.48936,0.27879,0.35521,1
ROUGE-1,SJMN91-06134118,COSINE.TXT,0.28431,0.2437,0.26244,1
ROUGE-1,SJMN91-06317223,COSINE.TXT,0.59406,0.4878,0.53571,1
ROUGE-1,AP890127-0271,COSINE.TXT,0.52885,0.33742,0.41199,1
ROUGE-1,AP890814-0049,COSINE.TXT,0.38843,0.54023,0.45192,1
ROUGE-1,FT924-11508,COSINE.TXT,0.46847,0.36364,0.40945,1
ROUGE-1,AP890914-0207,COSINE.TXT,0.51456,0.43802,0.47321,1
ROUGE-1,FT941-15870,COSINE.TXT,0.49462,0.23958,0.32281,1
ROUGE-1,SJMN91-06154062,COSINE.TXT,?,?,0,0
ROUGE-1,WSJ911016-0124,COSINE.TXT,0.36,0.30252,0.32877,1
ROUGE-1,AP890519-0070,COSINE.TXT,0.40777,0.32812,0.36364,1
ROUGE-1,FT922-10715,COSINE.TXT,0.43137,0.22,0.29139,1
ROUGE-1,SJMN91-06067095,COSINE.TXT,0.34314,0.26923,0.30172,1
ROUGE-1,AP900601-0099,COSINE.TXT,0.57944,0.65957,0.61692,1
ROUGE-1,SJMN91-06189077,COSINE.TXT,0.35644,0.288,0.31858,1
ROUGE-1,AP881022-0011,COSINE.TXT,0.49485,0.28402,0.3609,1
ROUGE-1,WSJ911016-0126,COSINE.TXT,0.38318,0.32283,0.35043,1
ROUGE-1,AP901213-0236,COSINE.TXT,0.46602,0.36923,0.41202,1
ROUGE-1,SJMN91-06070029,COSINE.TXT,0.24299,0.17808,0.20553,1
ROUGE-1,AP901210-0077,COSINE.TXT,0.51852,0.54369,0.53081,1
ROUGE-1,WSJ910222-0008,COSINE.TXT,0.2381,0.24272,0.24038,1
ROUGE-1,SJMN91-06081020,COSINE.TXT,0.28037,0.32967,0.30303,1
ROUGE-1,SJMN91-06081262,COSINE.TXT,0.4466,0.29487,0.35521,1
ROUGE-1,AP900312-0193,COSINE.TXT,0.32353,0.30841,0.31579,1
ROUGE-1,AP900529-0104,COSINE.TXT,0.64706,0.48529,0.55462,1
ROUGE-1,WSJ911004-0115,COSINE.TXT,0.14414,0.43243,0.21622,1
ROUGE-1,AP900331-0064,COSINE.TXT,0.48039,0.51579,0.49746,1
ROUGE-1,WSJ911224-0095,COSINE.TXT,0.37374,0.31897,0.34419,1
ROUGE-1,WSJ911204-0162,COSINE.TXT,0.11818,0.46429,0.18841,1
ROUGE-1,SJMN91-06165057,COSINE.TXT,0.65049,0.35829,0.46207,1
ROUGE-1,FT922-10026,COSINE.TXT,0.42342,0.32414,0.36719,1
ROUGE-1,SJMN91-06270171,COSINE.TXT,0.48571,0.3806,0.42678,1
ROUGE-1,SJMN91-06339016,COSINE.TXT,0.48113,0.35172,0.40637,1
