ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,FT921-3939,NAIVE.TXT,0.43689,0.39474,0.41475,1
ROUGE-1,AP900912-0061,NAIVE.TXT,0.41584,0.40777,0.41176,1
ROUGE-1,AP890901-0154,NAIVE.TXT,0.48544,0.39062,0.4329,1
ROUGE-1,FT924-11880,NAIVE.TXT,0.3271,0.24823,0.28226,1
ROUGE-1,WSJ891030-0101,NAIVE.TXT,0.42202,0.48421,0.45098,1
ROUGE-1,SJMN91-06171095,NAIVE.TXT,0.40952,0.27389,0.32824,1
ROUGE-1,AP890525-0127,NAIVE.TXT,0.66346,0.26744,0.38122,1
ROUGE-1,FT931-2934,NAIVE.TXT,0.65714,0.43671,0.52471,1
ROUGE-1,AP890831-0158,NAIVE.TXT,0.62376,0.48462,0.54545,1
ROUGE-1,AP900714-0083,NAIVE.TXT,0.2381,0.35714,0.28571,1
ROUGE-1,SJMN91-06339143,NAIVE.TXT,0.32143,0.21818,0.25993,1
ROUGE-1,AP880711-0197,NAIVE.TXT,0.45714,0.27907,0.34657,1
ROUGE-1,WSJ891026-0063,NAIVE.TXT,0.25,0.25455,0.25225,1
ROUGE-1,AP900625-0289,NAIVE.TXT,0.69811,0.5034,0.58498,1
ROUGE-1,SJMN91-06338157,NAIVE.TXT,0.64646,0.42953,0.51613,1
ROUGE-1,WSJ910228-0028,NAIVE.TXT,0.11321,0.36364,0.17266,1
ROUGE-1,SJMN91-06167046,NAIVE.TXT,0.47059,0.22749,0.30671,1
ROUGE-1,WSJ900718-0065,NAIVE.TXT,0.16216,0.38298,0.22785,1
ROUGE-1,WSJ890817-0069,NAIVE.TXT,0.39252,0.30216,0.34146,1
ROUGE-1,AP890322-0078,NAIVE.TXT,0.46296,0.43478,0.44843,1
ROUGE-1,WSJ911227-0037,NAIVE.TXT,0.31776,0.26772,0.2906,1
ROUGE-1,SJMN91-06052157,NAIVE.TXT,0.58716,0.42667,0.49421,1
ROUGE-1,WSJ870918-0042,NAIVE.TXT,0.32039,0.21711,0.25882,1
ROUGE-1,FT921-8958,NAIVE.TXT,0.46875,0.21429,0.29412,1
ROUGE-1,AP891125-0090,NAIVE.TXT,?,?,0,0
ROUGE-1,AP890228-0019,NAIVE.TXT,0.35417,0.38202,0.36757,1
ROUGE-1,WSJ880701-0160,NAIVE.TXT,0.28723,0.28723,0.28723,1
ROUGE-1,SJMN91-06134118,NAIVE.TXT,0.32353,0.23741,0.27386,1
ROUGE-1,SJMN91-06317223,NAIVE.TXT,0.55446,0.33136,0.41481,1
ROUGE-1,AP890127-0271,NAIVE.TXT,0.57692,0.31088,0.40404,1
ROUGE-1,AP890814-0049,NAIVE.TXT,0.07438,0.33333,0.12162,1
ROUGE-1,FT924-11508,NAIVE.TXT,0.54955,0.30348,0.39103,1
ROUGE-1,AP890914-0207,NAIVE.TXT,0.48544,0.34247,0.40161,1
ROUGE-1,FT941-15870,NAIVE.TXT,0.52688,0.26203,0.35,1
ROUGE-1,SJMN91-06154062,NAIVE.TXT,?,?,0,0
ROUGE-1,WSJ911016-0124,NAIVE.TXT,0.45,0.23196,0.30612,1
ROUGE-1,AP890519-0070,NAIVE.TXT,0.52427,0.37241,0.43548,1
ROUGE-1,FT922-10715,NAIVE.TXT,0.33333,0.18994,0.24199,1
ROUGE-1,SJMN91-06067095,NAIVE.TXT,0.27451,0.23333,0.25225,1
ROUGE-1,AP900601-0099,NAIVE.TXT,0.60748,0.39877,0.48148,1
ROUGE-1,SJMN91-06189077,NAIVE.TXT,0.43564,0.25,0.31769,1
ROUGE-1,AP881022-0011,NAIVE.TXT,0.58763,0.30319,0.4,1
ROUGE-1,WSJ911016-0126,NAIVE.TXT,0.41121,0.35772,0.38261,1
ROUGE-1,AP901213-0236,NAIVE.TXT,0.5534,0.33529,0.41758,1
ROUGE-1,SJMN91-06070029,NAIVE.TXT,0.35514,0.24516,0.29008,1
ROUGE-1,AP901210-0077,NAIVE.TXT,0.47222,0.34459,0.39844,1
ROUGE-1,WSJ910222-0008,NAIVE.TXT,0.26667,0.23333,0.24889,1
ROUGE-1,SJMN91-06081020,NAIVE.TXT,0.29907,0.30189,0.30047,1
ROUGE-1,SJMN91-06081262,NAIVE.TXT,0.39806,0.34454,0.36937,1
ROUGE-1,AP900312-0193,NAIVE.TXT,0.28431,0.27358,0.27885,1
ROUGE-1,AP900529-0104,NAIVE.TXT,0.61765,0.3913,0.47909,1
ROUGE-1,WSJ911004-0115,NAIVE.TXT,0.06306,0.46667,0.11111,1
ROUGE-1,AP900331-0064,NAIVE.TXT,0.41176,0.53846,0.46667,1
ROUGE-1,WSJ911224-0095,NAIVE.TXT,0.21212,0.23077,0.22105,1
ROUGE-1,WSJ911204-0162,NAIVE.TXT,0.14545,0.31373,0.19876,1
ROUGE-1,SJMN91-06165057,NAIVE.TXT,0.66019,0.31628,0.42767,1
ROUGE-1,FT922-10026,NAIVE.TXT,0.59459,0.34737,0.43854,1
ROUGE-1,SJMN91-06270171,NAIVE.TXT,0.4,0.32812,0.36052,1
ROUGE-1,SJMN91-06339016,NAIVE.TXT,0.40566,0.55128,0.46739,1
ROUGE-1,WSJ870915-0116,NAIVE.TXT,0.33333,0.38462,0.35714,1
ROUGE-1,WSJ920302-0142,NAIVE.TXT,0.22018,0.28916,0.25,1
ROUGE-1,AP890809-0205,NAIVE.TXT,0.58095,0.58095,0.58095,1
ROUGE-1,AP890719-0134,NAIVE.TXT,0.50485,0.38806,0.43882,1
ROUGE-1,AP900608-0009,NAIVE.TXT,0.42742,0.22083,0.29121,1
ROUGE-1,WSJ911011-0071,NAIVE.TXT,0.3271,0.27778,0.30043,1
ROUGE-1,WSJ870804-0097,NAIVE.TXT,0.2,0.4,0.26667,1
ROUGE-1,WSJ900419-0016,NAIVE.TXT,0.3211,0.28226,0.30043,1
ROUGE-1,AP900529-0169,NAIVE.TXT,0.67308,0.52239,0.58824,1
ROUGE-1,WSJ910227-0075,NAIVE.TXT,0.18269,0.21348,0.19689,1
ROUGE-1,AP880908-0264,NAIVE.TXT,0.34483,0.25316,0.29197,1
