ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,FT921-3939,NAIVE.TXT,0.60194,0.4106,0.48819,1
ROUGE-1,AP900912-0061,NAIVE.TXT,0.23762,0.26374,0.25,1
ROUGE-1,AP890901-0154,NAIVE.TXT,0.39806,0.28276,0.33065,1
ROUGE-1,FT924-11880,NAIVE.TXT,0.34579,0.27007,0.30328,1
ROUGE-1,WSJ891030-0101,NAIVE.TXT,0.42202,0.31724,0.3622,1
ROUGE-1,SJMN91-06171095,NAIVE.TXT,0.5619,0.28365,0.377,1
ROUGE-1,AP890525-0127,NAIVE.TXT,0.44231,0.34328,0.38655,1
ROUGE-1,FT931-2934,NAIVE.TXT,0.41905,0.34646,0.37931,1
ROUGE-1,AP890831-0158,NAIVE.TXT,0.27723,0.29787,0.28718,1
ROUGE-1,AP900714-0083,NAIVE.TXT,0.40952,0.29054,0.33992,1
ROUGE-1,SJMN91-06339143,NAIVE.TXT,0.48214,0.40299,0.43902,1
ROUGE-1,AP880711-0197,NAIVE.TXT,0.42857,0.29032,0.34615,1
ROUGE-1,WSJ891026-0063,NAIVE.TXT,0.32143,0.33028,0.32579,1
ROUGE-1,AP900625-0289,NAIVE.TXT,0.4434,0.39496,0.41778,1
ROUGE-1,SJMN91-06338157,NAIVE.TXT,0.77778,0.41622,0.54225,1
ROUGE-1,WSJ910228-0028,NAIVE.TXT,0.34906,0.23125,0.2782,1
ROUGE-1,SJMN91-06167046,NAIVE.TXT,0.38235,0.22674,0.28467,1
ROUGE-1,WSJ900718-0065,NAIVE.TXT,0.46847,0.32099,0.38095,1
ROUGE-1,WSJ890817-0069,NAIVE.TXT,0.37383,0.25157,0.30075,1
ROUGE-1,AP890322-0078,NAIVE.TXT,0.4537,0.42241,0.4375,1
ROUGE-1,WSJ911227-0037,NAIVE.TXT,0.48598,0.30952,0.37818,1
ROUGE-1,SJMN91-06052157,NAIVE.TXT,0.36697,0.47059,0.41237,1
ROUGE-1,WSJ870918-0042,NAIVE.TXT,0.57282,0.25106,0.34911,1
ROUGE-1,FT921-8958,NAIVE.TXT,0.52083,0.22523,0.31447,1
ROUGE-1,AP891125-0090,NAIVE.TXT,?,?,0,0
ROUGE-1,AP890228-0019,NAIVE.TXT,0.42708,0.40196,0.41414,1
ROUGE-1,WSJ880701-0160,NAIVE.TXT,0.44681,0.22703,0.30108,1
ROUGE-1,SJMN91-06134118,NAIVE.TXT,0.30392,0.20946,0.248,1
ROUGE-1,SJMN91-06317223,NAIVE.TXT,0.70297,0.43827,0.53992,1
ROUGE-1,AP890127-0271,NAIVE.TXT,0.5,0.38519,0.43515,1
ROUGE-1,AP890814-0049,NAIVE.TXT,0.18182,0.46809,0.2619,1
ROUGE-1,FT924-11508,NAIVE.TXT,0.59459,0.375,0.45993,1
ROUGE-1,AP890914-0207,NAIVE.TXT,0.48544,0.3125,0.38023,1
ROUGE-1,FT941-15870,NAIVE.TXT,0.55914,0.18773,0.28108,1
ROUGE-1,SJMN91-06154062,NAIVE.TXT,?,?,0,0
ROUGE-1,WSJ911016-0124,NAIVE.TXT,0.41,0.25625,0.31538,1
ROUGE-1,AP890519-0070,NAIVE.TXT,0.52427,0.29834,0.38028,1
ROUGE-1,FT922-10715,NAIVE.TXT,0.51961,0.22176,0.31085,1
ROUGE-1,SJMN91-06067095,NAIVE.TXT,0.42157,0.20574,0.27653,1
ROUGE-1,AP900601-0099,NAIVE.TXT,0.6729,0.50704,0.57831,1
ROUGE-1,SJMN91-06189077,NAIVE.TXT,0.35644,0.28346,0.31579,1
ROUGE-1,AP881022-0011,NAIVE.TXT,0.62887,0.24797,0.35569,1
ROUGE-1,WSJ911016-0126,NAIVE.TXT,0.58879,0.35,0.43902,1
ROUGE-1,AP901213-0236,NAIVE.TXT,0.69903,0.34615,0.46302,1
ROUGE-1,SJMN91-06070029,NAIVE.TXT,0.28972,0.2013,0.23755,1
ROUGE-1,AP901210-0077,NAIVE.TXT,0.59259,0.42953,0.49805,1
ROUGE-1,WSJ910222-0008,NAIVE.TXT,0.07619,0.25806,0.11765,1
ROUGE-1,SJMN91-06081020,NAIVE.TXT,0.33645,0.28125,0.30638,1
ROUGE-1,SJMN91-06081262,NAIVE.TXT,0.27184,0.29474,0.28283,1
ROUGE-1,AP900312-0193,NAIVE.TXT,0.44118,0.30612,0.36145,1
ROUGE-1,AP900529-0104,NAIVE.TXT,0.45098,0.21801,0.29393,1
ROUGE-1,WSJ911004-0115,NAIVE.TXT,0.11712,0.2766,0.16456,1
ROUGE-1,AP900331-0064,NAIVE.TXT,0.58824,0.47244,0.52402,1
ROUGE-1,WSJ911224-0095,NAIVE.TXT,0.32323,0.34409,0.33333,1
ROUGE-1,WSJ911204-0162,NAIVE.TXT,0.30909,0.32075,0.31481,1
ROUGE-1,SJMN91-06165057,NAIVE.TXT,0.60194,0.30542,0.40523,1
ROUGE-1,FT922-10026,NAIVE.TXT,0.53153,0.33908,0.41404,1
ROUGE-1,SJMN91-06270171,NAIVE.TXT,0.45714,0.33803,0.38866,1
ROUGE-1,SJMN91-06339016,NAIVE.TXT,0.65094,0.35567,0.46,1
ROUGE-1,WSJ870915-0116,NAIVE.TXT,0.39048,0.24551,0.30147,1
ROUGE-1,WSJ920302-0142,NAIVE.TXT,0.2844,0.27679,0.28054,1
ROUGE-1,AP890809-0205,NAIVE.TXT,0.55238,0.28713,0.37785,1
ROUGE-1,AP890719-0134,NAIVE.TXT,0.67961,0.38043,0.4878,1
ROUGE-1,AP900608-0009,NAIVE.TXT,0.45968,0.26636,0.33728,1
ROUGE-1,WSJ911011-0071,NAIVE.TXT,0.35514,0.21111,0.26481,1
ROUGE-1,WSJ870804-0097,NAIVE.TXT,0.3,0.50943,0.37762,1
ROUGE-1,WSJ900419-0016,NAIVE.TXT,0.34862,0.24516,0.28788,1
ROUGE-1,AP900529-0169,NAIVE.TXT,0.52885,0.34161,0.41509,1
ROUGE-1,WSJ910227-0075,NAIVE.TXT,0.45192,0.21659,0.29283,1
ROUGE-1,AP880908-0264,NAIVE.TXT,0.53448,0.33514,0.41196,1
ROUGE-1,SJMN91-06170249,NAIVE.TXT,0.32673,0.275,0.29864,1
ROUGE-1,SJMN91-06203128,NAIVE.TXT,0.46667,0.29341,0.36029,1
ROUGE-1,SJMN91-06184088,NAIVE.TXT,0.52381,0.25581,0.34375,1
ROUGE-1,AP881104-0268,NAIVE.TXT,0.38889,0.28767,0.33071,1
ROUGE-1,AP900714-0029,NAIVE.TXT,0.11429,0.27907,0.16216,1
ROUGE-1,WSJ910627-0102,NAIVE.TXT,0.38393,0.38393,0.38393,1
ROUGE-1,AP880316-0208,NAIVE.TXT,0.45536,0.41803,0.4359,1
ROUGE-1,AP900418-0106,NAIVE.TXT,0.42308,0.36364,0.39111,1
ROUGE-1,SJMN91-06187248,NAIVE.TXT,0.35644,0.30769,0.33028,1
ROUGE-1,SJMN91-06193239,NAIVE.TXT,0.4,0.25974,0.31496,1
ROUGE-1,AP890404-0260,NAIVE.TXT,0.43119,0.26554,0.32867,1
ROUGE-1,SJMN91-06164066,NAIVE.TXT,0.36634,0.24503,0.29365,1
ROUGE-1,AP880911-0024,NAIVE.TXT,0.72289,0.4,0.51502,1
ROUGE-1,WSJ891012-0091,NAIVE.TXT,0.17431,0.33333,0.22892,1
ROUGE-1,AP880714-0187,NAIVE.TXT,0.52475,0.29444,0.37722,1
ROUGE-1,AP890401-0065,NAIVE.TXT,0.62264,0.47143,0.53659,1
ROUGE-1,SJMN91-06163095,NAIVE.TXT,0.43796,0.32086,0.37037,1
ROUGE-1,AP900514-0011,NAIVE.TXT,0.62617,0.30455,0.40979,1
ROUGE-1,AP881228-0009,NAIVE.TXT,0.51923,0.25714,0.34395,1
ROUGE-1,SJMN91-06340029,NAIVE.TXT,0.27619,0.24786,0.26126,1
ROUGE-1,AP880909-0135,NAIVE.TXT,0.27619,0.19079,0.22568,1
ROUGE-1,AP900822-0016,NAIVE.TXT,0.33654,0.26718,0.29787,1
ROUGE-1,AP881007-0011,NAIVE.TXT,0.39048,0.37615,0.38318,1
ROUGE-1,AP890509-0228,NAIVE.TXT,0.30769,0.19632,0.2397,1
ROUGE-1,WSJ880510-0079,NAIVE.TXT,0.41584,0.38889,0.40191,1
ROUGE-1,AP880318-0051,NAIVE.TXT,0.4569,0.33333,0.38545,1
ROUGE-1,AP880513-0068,NAIVE.TXT,0.66667,0.3913,0.49315,1
ROUGE-1,WSJ880919-0094,NAIVE.TXT,0.38793,0.3169,0.34884,1
ROUGE-1,WSJ910822-0021,NAIVE.TXT,0.4466,0.2659,0.33333,1
ROUGE-1,WSJ870922-0050,NAIVE.TXT,0.0098,0.05263,0.01653,1
ROUGE-1,AP900622-0121,NAIVE.TXT,0.34951,0.3956,0.37113,1
ROUGE-1,SJMN91-06339168,NAIVE.TXT,0.46078,0.41228,0.43519,1
ROUGE-1,WSJ910702-0086,NAIVE.TXT,0.39423,0.23164,0.29181,1
ROUGE-1,SJMN91-06031281,NAIVE.TXT,0.31683,0.20779,0.25098,1
ROUGE-1,AP890527-0001,NAIVE.TXT,0.31,0.35632,0.33155,1
ROUGE-1,AP900319-0118,NAIVE.TXT,0.61,0.47656,0.53509,1
ROUGE-1,FT921-2956,NAIVE.TXT,0.43396,0.20175,0.27545,1
ROUGE-1,WSJ910405-0160,NAIVE.TXT,0.46939,0.28049,0.35115,1
ROUGE-1,FT944-5494,NAIVE.TXT,0.42202,0.24468,0.30976,1
ROUGE-1,AP890123-0150,NAIVE.TXT,0.27679,0.43056,0.33696,1
ROUGE-1,AP900107-0033,NAIVE.TXT,0.34579,0.35577,0.35071,1
ROUGE-1,SJMN91-06340155,NAIVE.TXT,0.31373,0.18935,0.23616,1
ROUGE-1,SJMN91-06294205,NAIVE.TXT,0.31776,0.272,0.2931,1
ROUGE-1,AP880622-0262,NAIVE.TXT,0.32381,0.32381,0.32381,1
ROUGE-1,AP890702-0030,NAIVE.TXT,0.54639,0.30994,0.39552,1
ROUGE-1,AP900713-0083,NAIVE.TXT,0.38318,0.32283,0.35043,1
ROUGE-1,SJMN91-06130055,NAIVE.TXT,0.64423,0.46853,0.54251,1
ROUGE-1,SJMN91-06132118,NAIVE.TXT,0.5,0.29651,0.37226,1
ROUGE-1,SJMN91-06165257,NAIVE.TXT,0.6381,0.34896,0.45118,1
ROUGE-1,FT941-1163,NAIVE.TXT,0.41228,0.24607,0.3082,1
ROUGE-1,WSJ870325-0008,NAIVE.TXT,0.17143,0.31034,0.22086,1
ROUGE-1,AP901027-0086,NAIVE.TXT,0.66055,0.46452,0.54545,1
ROUGE-1,SJMN91-06015144,NAIVE.TXT,?,?,0,0
ROUGE-1,WSJ871022-0085,NAIVE.TXT,0.39048,0.27703,0.32411,1
ROUGE-1,AP891005-0230,NAIVE.TXT,0.65455,0.4898,0.56031,1
ROUGE-1,AP900323-0036,NAIVE.TXT,0.33929,0.2303,0.27437,1
ROUGE-1,SJMN91-06067141,NAIVE.TXT,0.39815,0.25146,0.30824,1
ROUGE-1,FT934-10679,NAIVE.TXT,0.30275,0.31429,0.30841,1
ROUGE-1,AP900207-0041,NAIVE.TXT,0.59223,0.40667,0.48221,1
ROUGE-1,AP900724-0207,NAIVE.TXT,0.44444,0.44037,0.4424,1
ROUGE-1,WSJ871109-0152,NAIVE.TXT,0.30108,0.29167,0.2963,1
ROUGE-1,AP881206-0232,NAIVE.TXT,0.53271,0.62637,0.57576,1
ROUGE-1,AP890623-0230,NAIVE.TXT,0.57009,0.30808,0.4,1
ROUGE-1,AP900622-0025,NAIVE.TXT,0.50485,0.56522,0.53333,1
ROUGE-1,AP901027-0090,NAIVE.TXT,0.37838,0.24561,0.29787,1
ROUGE-1,SJMN91-06164150,NAIVE.TXT,0.36538,0.28358,0.31933,1
ROUGE-1,AP890811-0011,NAIVE.TXT,0.31776,0.36957,0.34171,1
ROUGE-1,WSJ910620-0075,NAIVE.TXT,0.47423,0.27711,0.34981,1
ROUGE-1,AP900219-0037,NAIVE.TXT,0.22642,0.33803,0.27119,1
ROUGE-1,WSJ910516-0166,NAIVE.TXT,?,?,0,0
ROUGE-1,AP890406-0216,NAIVE.TXT,0.4569,0.34194,0.39114,1
ROUGE-1,SJMN91-06080232,NAIVE.TXT,0.35238,0.23871,0.28462,1
ROUGE-1,AP890116-0148,NAIVE.TXT,0.43137,0.29333,0.34921,1
ROUGE-1,WSJ920214-0040,NAIVE.TXT,0.43137,0.26829,0.33083,1
ROUGE-1,SJMN91-06324032,NAIVE.TXT,0.56757,0.41447,0.47909,1
ROUGE-1,SJMN91-06170171,NAIVE.TXT,0.11215,0.30769,0.16438,1
ROUGE-1,WSJ910517-0205,NAIVE.TXT,0.19626,0.40385,0.26415,1
ROUGE-1,FT921-12198,NAIVE.TXT,0.55238,0.31522,0.40138,1
ROUGE-1,WSJ870611-0085,NAIVE.TXT,?,?,0,0
ROUGE-1,SJMN91-06290185,NAIVE.TXT,0.41818,0.31507,0.35938,1
ROUGE-1,WSJ900426-0110,NAIVE.TXT,0.33628,0.33628,0.33628,1
ROUGE-1,AP900911-0198,NAIVE.TXT,0.28302,0.2381,0.25862,1
ROUGE-1,WSJ870612-0139,NAIVE.TXT,0.32727,0.49315,0.39344,1
ROUGE-1,AP891005-0216,NAIVE.TXT,0.27,0.225,0.24545,1
ROUGE-1,WSJ900809-0022,NAIVE.TXT,0.17431,0.26389,0.20994,1
ROUGE-1,WSJ910702-0078,NAIVE.TXT,0.34513,0.18224,0.23853,1
ROUGE-1,AP900712-0206,NAIVE.TXT,0.50476,0.35099,0.41406,1
ROUGE-1,WSJ870608-0066,NAIVE.TXT,0.36735,0.25714,0.30252,1
ROUGE-1,SJMN91-06267062,NAIVE.TXT,0.27451,0.19178,0.22581,1
ROUGE-1,AP880728-0192,NAIVE.TXT,0.63265,0.37805,0.47328,1
ROUGE-1,AP890308-0099,NAIVE.TXT,0.50435,0.33333,0.40138,1
ROUGE-1,WSJ870702-0104,NAIVE.TXT,0.45192,0.20796,0.28485,1
ROUGE-1,FT924-4821,NAIVE.TXT,0.66355,0.28063,0.39444,1
ROUGE-1,AP881027-0166,NAIVE.TXT,0.47573,0.22072,0.30154,1
ROUGE-1,AP891101-0150,NAIVE.TXT,0.5102,0.42373,0.46296,1
ROUGE-1,WSJ900530-0112,NAIVE.TXT,0.23276,0.33333,0.27411,1
ROUGE-1,AP900530-0042,NAIVE.TXT,0.51961,0.34194,0.41245,1
