ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,FT921-3939,LEX.TXT,0.26214,0.50943,0.34615,1
ROUGE-1,AP900912-0061,LEX.TXT,0.23762,0.38095,0.29268,1
ROUGE-1,AP890901-0154,LEX.TXT,0.2233,0.40351,0.2875,1
ROUGE-1,LA112290-0168,LEX.TXT,0.00926,1,0.01835,1
ROUGE-1,FT924-11880,LEX.TXT,0.15888,0.36957,0.22222,1
ROUGE-1,WSJ891030-0101,LEX.TXT,0.10092,0.22,0.13836,1
ROUGE-1,LA031189-0043,LEX.TXT,0,0,0,1
ROUGE-1,SJMN91-06171095,LEX.TXT,0.25714,0.45763,0.32927,1
ROUGE-1,AP890525-0127,LEX.TXT,0.18269,0.38776,0.24837,1
ROUGE-1,FT931-2934,LEX.TXT,0.46667,0.4375,0.45161,1
ROUGE-1,AP890831-0158,LEX.TXT,0.38614,0.55714,0.45614,1
ROUGE-1,AP900714-0083,LEX.TXT,0.33333,0.44304,0.38043,1
ROUGE-1,SJMN91-06339143,LEX.TXT,0.33929,0.56716,0.42458,1
ROUGE-1,AP880711-0197,LEX.TXT,0.38095,0.41667,0.39801,1
ROUGE-1,WSJ891026-0063,LEX.TXT,0.25893,0.33333,0.29146,1
ROUGE-1,AP900625-0289,LEX.TXT,0.4434,0.55952,0.49474,1
ROUGE-1,LA072389-0049,LEX.TXT,0.0087,1,0.01724,1
ROUGE-1,SJMN91-06338157,LEX.TXT,0.29293,0.52727,0.37662,1
ROUGE-1,WSJ910228-0028,LEX.TXT,0.20755,0.27848,0.23784,1
ROUGE-1,SJMN91-06167046,LEX.TXT,0.18627,0.32203,0.23602,1
ROUGE-1,WSJ900718-0065,LEX.TXT,0.26126,0.35802,0.30208,1
ROUGE-1,WSJ890817-0069,LEX.TXT,0.2243,0.26374,0.24242,1
ROUGE-1,LA112389-0104,LEX.TXT,0.00926,1,0.01835,1
ROUGE-1,AP890322-0078,LEX.TXT,0.36111,0.46429,0.40625,1
ROUGE-1,LA011389-0019,LEX.TXT,0.00926,1,0.01835,1
ROUGE-1,WSJ911227-0037,LEX.TXT,0.24299,0.35616,0.28889,1
ROUGE-1,SJMN91-06052157,LEX.TXT,0.41284,0.42453,0.4186,1
ROUGE-1,WSJ870918-0042,LEX.TXT,0.30097,0.49206,0.37349,1
ROUGE-1,FT921-8958,LEX.TXT,0.29167,0.45161,0.35443,1
ROUGE-1,AP891125-0090,LEX.TXT,?,?,0,0
ROUGE-1,AP890228-0019,LEX.TXT,0.20833,0.46512,0.28777,1
ROUGE-1,WSJ880701-0160,LEX.TXT,0.25532,0.27586,0.26519,1
ROUGE-1,SJMN91-06134118,LEX.TXT,0.16667,0.32692,0.22078,1
ROUGE-1,SJMN91-06317223,LEX.TXT,0.24752,0.43103,0.31447,1
ROUGE-1,AP890127-0271,LEX.TXT,0.47115,0.54444,0.50515,1
ROUGE-1,AP890814-0049,LEX.TXT,0.2314,0.57143,0.32941,1
ROUGE-1,FT924-11508,LEX.TXT,0.25225,0.49123,0.33333,1
ROUGE-1,AP890914-0207,LEX.TXT,0.3301,0.45946,0.38418,1
ROUGE-1,FT941-15870,LEX.TXT,0.37634,0.30435,0.33654,1
ROUGE-1,SJMN91-06154062,LEX.TXT,?,?,0,0
ROUGE-1,WSJ911016-0124,LEX.TXT,0.18,0.27692,0.21818,1
ROUGE-1,AP890519-0070,LEX.TXT,0.43689,0.70312,0.53892,1
ROUGE-1,LA033089-0030,LEX.TXT,0.00893,1,0.0177,1
ROUGE-1,FT922-10715,LEX.TXT,0.28431,0.31868,0.30052,1
ROUGE-1,SJMN91-06067095,LEX.TXT,0.14706,0.38462,0.21277,1
ROUGE-1,AP900601-0099,LEX.TXT,0.23364,0.4717,0.3125,1
ROUGE-1,SJMN91-06189077,LEX.TXT,0.30693,0.32979,0.31795,1
ROUGE-1,AP881022-0011,LEX.TXT,0.25773,0.28736,0.27174,1
ROUGE-1,WSJ911016-0126,LEX.TXT,0.26168,0.33333,0.29319,1
ROUGE-1,LA011790-0024,LEX.TXT,0,0,0,1
ROUGE-1,AP901213-0236,LEX.TXT,0.39806,0.49398,0.44086,1
ROUGE-1,SJMN91-06070029,LEX.TXT,0.38318,0.46591,0.42051,1
ROUGE-1,AP901210-0077,LEX.TXT,0.10185,0.2619,0.14667,1
ROUGE-1,WSJ910222-0008,LEX.TXT,0.24762,0.27368,0.26,1
ROUGE-1,SJMN91-06081020,LEX.TXT,0.2243,0.375,0.2807,1
ROUGE-1,SJMN91-06081262,LEX.TXT,0.25243,0.34667,0.29213,1
ROUGE-1,AP900312-0193,LEX.TXT,0.15686,0.25,0.19277,1
