ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,FT921-3939,LEX.TXT,0.21359,0.45833,0.29139,1
ROUGE-1,AP900912-0061,LEX.TXT,0.18812,0.25676,0.21714,1
ROUGE-1,AP890901-0154,LEX.TXT,0.21359,0.4,0.27848,1
ROUGE-1,LA112290-0168,LEX.TXT,0.00926,1,0.01835,1
ROUGE-1,FT924-11880,LEX.TXT,0.24299,0.34211,0.28415,1
ROUGE-1,WSJ891030-0101,LEX.TXT,0.08257,0.25,0.12414,1
ROUGE-1,LA031189-0043,LEX.TXT,0,0,0,1
ROUGE-1,SJMN91-06171095,LEX.TXT,0.4,0.4375,0.41791,1
ROUGE-1,AP890525-0127,LEX.TXT,0.29808,0.36047,0.32632,1
ROUGE-1,FT931-2934,LEX.TXT,0.40952,0.42157,0.41546,1
ROUGE-1,AP890831-0158,LEX.TXT,0.28713,0.80556,0.42336,1
ROUGE-1,AP900714-0083,LEX.TXT,0.22857,0.34286,0.27429,1
ROUGE-1,SJMN91-06339143,LEX.TXT,0.19643,0.47826,0.27848,1
ROUGE-1,AP880711-0197,LEX.TXT,0.30476,0.29907,0.30189,1
ROUGE-1,WSJ891026-0063,LEX.TXT,0.19643,0.30556,0.23913,1
ROUGE-1,AP900625-0289,LEX.TXT,0.30189,0.4,0.34409,1
ROUGE-1,LA072389-0049,LEX.TXT,0.0087,1,0.01724,1
ROUGE-1,SJMN91-06338157,LEX.TXT,0.38384,0.45238,0.4153,1
ROUGE-1,WSJ910228-0028,LEX.TXT,0.29245,0.34066,0.31472,1
ROUGE-1,SJMN91-06167046,LEX.TXT,0.22549,0.26437,0.24339,1
ROUGE-1,WSJ900718-0065,LEX.TXT,0.31532,0.38462,0.34653,1
ROUGE-1,WSJ890817-0069,LEX.TXT,0.20561,0.37931,0.26667,1
ROUGE-1,LA112389-0104,LEX.TXT,0.00926,1,0.01835,1
ROUGE-1,AP890322-0078,LEX.TXT,0.2963,0.34043,0.31683,1
ROUGE-1,LA011389-0019,LEX.TXT,0.00926,1,0.01835,1
ROUGE-1,WSJ911227-0037,LEX.TXT,0.2243,0.26667,0.24365,1
ROUGE-1,SJMN91-06052157,LEX.TXT,0.40367,0.51765,0.45361,1
ROUGE-1,WSJ870918-0042,LEX.TXT,0.30097,0.31313,0.30693,1
ROUGE-1,FT921-8958,LEX.TXT,0.34375,0.33673,0.34021,1
ROUGE-1,AP891125-0090,LEX.TXT,?,?,0,0
ROUGE-1,AP890228-0019,LEX.TXT,0.23958,0.42593,0.30667,1
ROUGE-1,WSJ880701-0160,LEX.TXT,0.12766,0.28571,0.17647,1
ROUGE-1,SJMN91-06134118,LEX.TXT,0.20588,0.35,0.25926,1
ROUGE-1,SJMN91-06317223,LEX.TXT,0.11881,0.25,0.16107,1
ROUGE-1,AP890127-0271,LEX.TXT,0.42308,0.40741,0.41509,1
ROUGE-1,AP890814-0049,LEX.TXT,0.33058,0.68966,0.44693,1
ROUGE-1,FT924-11508,LEX.TXT,0.18919,0.30882,0.23464,1
ROUGE-1,AP890914-0207,LEX.TXT,0.46602,0.64,0.53933,1
ROUGE-1,FT941-15870,LEX.TXT,0.25806,0.33803,0.29268,1
ROUGE-1,SJMN91-06154062,LEX.TXT,?,?,0,0
ROUGE-1,WSJ911016-0124,LEX.TXT,0.11,0.28947,0.15942,1
ROUGE-1,AP890519-0070,LEX.TXT,0.54369,0.64368,0.58947,1
ROUGE-1,LA033089-0030,LEX.TXT,0.00893,1,0.0177,1
ROUGE-1,FT922-10715,LEX.TXT,0.33333,0.30357,0.31776,1
ROUGE-1,SJMN91-06067095,LEX.TXT,0.2451,0.42373,0.31056,1
ROUGE-1,AP900601-0099,LEX.TXT,0.50467,0.60674,0.55102,1
ROUGE-1,SJMN91-06189077,LEX.TXT,0.25743,0.28889,0.27225,1
ROUGE-1,AP881022-0011,LEX.TXT,0.46392,0.45455,0.45918,1
ROUGE-1,WSJ911016-0126,LEX.TXT,0.14019,0.3125,0.19355,1
ROUGE-1,LA011790-0024,LEX.TXT,0,0,0,1
ROUGE-1,AP901213-0236,LEX.TXT,0.28155,0.39189,0.32768,1
ROUGE-1,SJMN91-06070029,LEX.TXT,0.1215,0.325,0.17687,1
ROUGE-1,AP901210-0077,LEX.TXT,0.21296,0.35938,0.26744,1
ROUGE-1,WSJ910222-0008,LEX.TXT,0.2,0.42857,0.27273,1
ROUGE-1,SJMN91-06081020,LEX.TXT,0.30841,0.33673,0.32195,1
ROUGE-1,SJMN91-06081262,LEX.TXT,0.16505,0.56667,0.25564,1
ROUGE-1,AP900312-0193,LEX.TXT,0.21569,0.4,0.28025,1
ROUGE-1,AP900529-0104,LEX.TXT,0.35294,0.46154,0.4,1
ROUGE-1,WSJ911004-0115,LEX.TXT,0.13514,0.3125,0.18868,1
