ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,FT921-3939,NAIVE.TXT,0.63107,0.45455,0.52846,1
ROUGE-1,AP900912-0061,NAIVE.TXT,0.34653,0.22436,0.27237,1
ROUGE-1,AP890901-0154,NAIVE.TXT,0.46602,0.29448,0.3609,1
ROUGE-1,FT924-11880,NAIVE.TXT,0.37383,0.25974,0.30651,1
ROUGE-1,WSJ891030-0101,NAIVE.TXT,0.3211,0.21875,0.26022,1
ROUGE-1,SJMN91-06171095,NAIVE.TXT,0.39048,0.27703,0.32411,1
ROUGE-1,AP890525-0127,NAIVE.TXT,0.52885,0.32164,0.4,1
ROUGE-1,FT931-2934,NAIVE.TXT,0.60952,0.30332,0.40506,1
ROUGE-1,AP890831-0158,NAIVE.TXT,0.33663,0.31481,0.32536,1
ROUGE-1,AP900714-0083,NAIVE.TXT,0.38095,0.37037,0.37559,1
ROUGE-1,SJMN91-06339143,NAIVE.TXT,0.47321,0.38129,0.42231,1
ROUGE-1,AP880711-0197,NAIVE.TXT,0.50476,0.27604,0.3569,1
ROUGE-1,WSJ891026-0063,NAIVE.TXT,0.21429,0.17778,0.19433,1
ROUGE-1,AP900625-0289,NAIVE.TXT,0.53774,0.43846,0.48305,1
ROUGE-1,SJMN91-06338157,NAIVE.TXT,0.63636,0.3865,0.48092,1
ROUGE-1,WSJ910228-0028,NAIVE.TXT,0.37736,0.25641,0.30534,1
ROUGE-1,SJMN91-06167046,NAIVE.TXT,0.38235,0.24684,0.3,1
ROUGE-1,WSJ900718-0065,NAIVE.TXT,0.00901,0.07143,0.016,1
ROUGE-1,WSJ890817-0069,NAIVE.TXT,0.28037,0.34483,0.30928,1
ROUGE-1,AP890322-0078,NAIVE.TXT,0.40741,0.42718,0.41706,1
ROUGE-1,WSJ911227-0037,NAIVE.TXT,0.31776,0.25373,0.28216,1
ROUGE-1,SJMN91-06052157,NAIVE.TXT,0.55963,0.37888,0.45185,1
ROUGE-1,WSJ870918-0042,NAIVE.TXT,0.50485,0.2488,0.33333,1
ROUGE-1,FT921-8958,NAIVE.TXT,0.45833,0.25143,0.32472,1
ROUGE-1,AP891125-0090,NAIVE.TXT,?,?,0,0
ROUGE-1,AP890228-0019,NAIVE.TXT,0.34375,0.40741,0.37288,1
ROUGE-1,WSJ880701-0160,NAIVE.TXT,0.51064,0.25,0.33566,1
ROUGE-1,SJMN91-06134118,NAIVE.TXT,0.32353,0.18644,0.23656,1
ROUGE-1,SJMN91-06317223,NAIVE.TXT,0.56436,0.31844,0.40714,1
ROUGE-1,AP890127-0271,NAIVE.TXT,0.55769,0.26009,0.35474,1
ROUGE-1,AP890814-0049,NAIVE.TXT,0.50413,0.33516,0.40264,1
ROUGE-1,FT924-11508,NAIVE.TXT,0.56757,0.30882,0.4,1
ROUGE-1,AP890914-0207,NAIVE.TXT,0.56311,0.5,0.52968,1
ROUGE-1,FT941-15870,NAIVE.TXT,0.50538,0.22816,0.31438,1
ROUGE-1,SJMN91-06154062,NAIVE.TXT,?,?,0,0
ROUGE-1,WSJ911016-0124,NAIVE.TXT,0.36,0.25175,0.2963,1
ROUGE-1,AP890519-0070,NAIVE.TXT,0.43689,0.27607,0.33835,1
ROUGE-1,FT922-10715,NAIVE.TXT,0.5098,0.18705,0.27368,1
ROUGE-1,SJMN91-06067095,NAIVE.TXT,0.42157,0.22051,0.28956,1
ROUGE-1,AP900601-0099,NAIVE.TXT,0.84112,0.625,0.71713,1
ROUGE-1,SJMN91-06189077,NAIVE.TXT,0.49505,0.20833,0.29326,1
ROUGE-1,AP881022-0011,NAIVE.TXT,0.6701,0.30516,0.41935,1
ROUGE-1,WSJ911016-0126,NAIVE.TXT,0.52336,0.27723,0.36246,1
ROUGE-1,AP901213-0236,NAIVE.TXT,0.60194,0.30392,0.40391,1
ROUGE-1,SJMN91-06070029,NAIVE.TXT,0.4486,0.22326,0.29814,1
ROUGE-1,AP901210-0077,NAIVE.TXT,0.47222,0.38636,0.425,1
ROUGE-1,WSJ910222-0008,NAIVE.TXT,0.04762,0.15152,0.07246,1
ROUGE-1,SJMN91-06081020,NAIVE.TXT,0.35514,0.25166,0.29457,1
ROUGE-1,SJMN91-06081262,NAIVE.TXT,0.39806,0.28472,0.33198,1
ROUGE-1,AP900312-0193,NAIVE.TXT,0.32353,0.26613,0.29204,1
ROUGE-1,AP900529-0104,NAIVE.TXT,0.4902,0.3268,0.39216,1
ROUGE-1,WSJ911004-0115,NAIVE.TXT,0,0,0,1
ROUGE-1,AP900331-0064,NAIVE.TXT,0.55882,0.50893,0.53271,1
ROUGE-1,WSJ911224-0095,NAIVE.TXT,0.37374,0.34579,0.35922,1
ROUGE-1,WSJ911204-0162,NAIVE.TXT,0.28182,0.26957,0.27556,1
ROUGE-1,SJMN91-06165057,NAIVE.TXT,0.60194,0.40789,0.48627,1
ROUGE-1,FT922-10026,NAIVE.TXT,0.48649,0.27551,0.35179,1
ROUGE-1,SJMN91-06270171,NAIVE.TXT,0.68571,0.39779,0.5035,1
ROUGE-1,SJMN91-06339016,NAIVE.TXT,0.50943,0.31214,0.3871,1
ROUGE-1,WSJ870915-0116,NAIVE.TXT,0.50476,0.40458,0.44915,1
ROUGE-1,WSJ920302-0142,NAIVE.TXT,0.3578,0.33913,0.34821,1
ROUGE-1,AP890809-0205,NAIVE.TXT,0.5619,0.45736,0.50427,1
ROUGE-1,AP890719-0134,NAIVE.TXT,0.65049,0.4012,0.4963,1
ROUGE-1,AP900608-0009,NAIVE.TXT,0.54839,0.33831,0.41846,1
ROUGE-1,WSJ911011-0071,NAIVE.TXT,0.31776,0.26772,0.2906,1
ROUGE-1,WSJ870804-0097,NAIVE.TXT,0.31111,0.35,0.32941,1
ROUGE-1,WSJ900419-0016,NAIVE.TXT,0.33028,0.24324,0.28016,1
ROUGE-1,AP900529-0169,NAIVE.TXT,0.40385,0.39252,0.3981,1
ROUGE-1,WSJ910227-0075,NAIVE.TXT,0.36538,0.34234,0.35349,1
ROUGE-1,AP880908-0264,NAIVE.TXT,0.48276,0.33136,0.39298,1
ROUGE-1,SJMN91-06170249,NAIVE.TXT,0.38614,0.23353,0.29104,1
ROUGE-1,SJMN91-06203128,NAIVE.TXT,0.38095,0.24691,0.29963,1
ROUGE-1,SJMN91-06184088,NAIVE.TXT,0.60952,0.32161,0.42105,1
ROUGE-1,AP881104-0268,NAIVE.TXT,0.34259,0.28682,0.31224,1
ROUGE-1,AP900714-0029,NAIVE.TXT,0.48571,0.24286,0.32381,1
ROUGE-1,WSJ910627-0102,NAIVE.TXT,0.1875,0.38182,0.2515,1
ROUGE-1,AP880316-0208,NAIVE.TXT,0.6875,0.5461,0.6087,1
ROUGE-1,AP900418-0106,NAIVE.TXT,0.39423,0.34454,0.36771,1
ROUGE-1,SJMN91-06187248,NAIVE.TXT,0.33663,0.26562,0.29694,1
ROUGE-1,SJMN91-06193239,NAIVE.TXT,0.49,0.32237,0.38889,1
ROUGE-1,AP890404-0260,NAIVE.TXT,0.3945,0.23757,0.29655,1
ROUGE-1,SJMN91-06164066,NAIVE.TXT,0.29703,0.22222,0.25424,1
ROUGE-1,AP880911-0024,NAIVE.TXT,0.57831,0.35556,0.44037,1
ROUGE-1,WSJ891012-0091,NAIVE.TXT,0.25688,0.25455,0.25571,1
ROUGE-1,AP880714-0187,NAIVE.TXT,0.44554,0.19149,0.26786,1
ROUGE-1,AP890401-0065,NAIVE.TXT,0.59434,0.46324,0.52066,1
ROUGE-1,SJMN91-06163095,NAIVE.TXT,0.39416,0.31765,0.35179,1
ROUGE-1,AP900514-0011,NAIVE.TXT,0.43925,0.23858,0.30921,1
ROUGE-1,AP881228-0009,NAIVE.TXT,0.42308,0.2,0.2716,1
ROUGE-1,SJMN91-06340029,NAIVE.TXT,0.3619,0.28788,0.32068,1
ROUGE-1,AP880909-0135,NAIVE.TXT,0.30476,0.17582,0.223,1
ROUGE-1,AP900822-0016,NAIVE.TXT,0.35577,0.27206,0.30833,1
ROUGE-1,AP881007-0011,NAIVE.TXT,0.4,0.336,0.36522,1
