ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,FT921-3939,NAIVE.TXT,0.60194,0.45255,0.51667,1
ROUGE-1,AP900912-0061,NAIVE.TXT,0.66337,0.45578,0.54032,1
ROUGE-1,AP890901-0154,NAIVE.TXT,0.58252,0.35714,0.4428,1
ROUGE-1,FT924-11880,NAIVE.TXT,0.42056,0.3169,0.36145,1
ROUGE-1,WSJ891030-0101,NAIVE.TXT,0.14679,0.20779,0.17204,1
ROUGE-1,SJMN91-06171095,NAIVE.TXT,0.60952,0.27119,0.37537,1
ROUGE-1,AP890525-0127,NAIVE.TXT,0.60577,0.28899,0.3913,1
ROUGE-1,FT931-2934,NAIVE.TXT,0.37143,0.27083,0.31325,1
ROUGE-1,AP890831-0158,NAIVE.TXT,0.27723,0.32184,0.29787,1
ROUGE-1,AP900714-0083,NAIVE.TXT,0.42857,0.33835,0.37815,1
ROUGE-1,SJMN91-06339143,NAIVE.TXT,0.35714,0.20942,0.26403,1
ROUGE-1,AP880711-0197,NAIVE.TXT,0.55238,0.32402,0.40845,1
ROUGE-1,WSJ891026-0063,NAIVE.TXT,0.23214,0.15476,0.18571,1
ROUGE-1,AP900625-0289,NAIVE.TXT,0.61321,0.48507,0.54167,1
ROUGE-1,SJMN91-06338157,NAIVE.TXT,0.70707,0.41176,0.52045,1
ROUGE-1,WSJ910228-0028,NAIVE.TXT,0.23585,0.26882,0.25126,1
ROUGE-1,SJMN91-06167046,NAIVE.TXT,0.33333,0.20238,0.25185,1
ROUGE-1,WSJ900718-0065,NAIVE.TXT,0.36036,0.30534,0.33058,1
ROUGE-1,WSJ890817-0069,NAIVE.TXT,0.31776,0.21519,0.2566,1
ROUGE-1,AP890322-0078,NAIVE.TXT,0.36111,0.46988,0.40838,1
ROUGE-1,WSJ911227-0037,NAIVE.TXT,0.31776,0.29825,0.30769,1
ROUGE-1,SJMN91-06052157,NAIVE.TXT,0.55046,0.38217,0.45113,1
ROUGE-1,WSJ870918-0042,NAIVE.TXT,0.5534,0.26267,0.35625,1
ROUGE-1,FT921-8958,NAIVE.TXT,0.5,0.25263,0.33566,1
ROUGE-1,AP891125-0090,NAIVE.TXT,?,?,0,0
ROUGE-1,AP890228-0019,NAIVE.TXT,0.38542,0.36275,0.37374,1
ROUGE-1,WSJ880701-0160,NAIVE.TXT,0.31915,0.19608,0.24291,1
ROUGE-1,SJMN91-06134118,NAIVE.TXT,0.33333,0.23129,0.27309,1
ROUGE-1,SJMN91-06317223,NAIVE.TXT,0.69307,0.37634,0.4878,1
ROUGE-1,AP890127-0271,NAIVE.TXT,0.625,0.35519,0.45296,1
ROUGE-1,AP890814-0049,NAIVE.TXT,0.1157,0.35,0.17391,1
ROUGE-1,FT924-11508,NAIVE.TXT,0.23423,0.23853,0.23636,1
ROUGE-1,AP890914-0207,NAIVE.TXT,0.48544,0.32468,0.38911,1
ROUGE-1,FT941-15870,NAIVE.TXT,0.37634,0.23649,0.29046,1
ROUGE-1,SJMN91-06154062,NAIVE.TXT,?,?,0,0
ROUGE-1,WSJ911016-0124,NAIVE.TXT,0.46,0.20721,0.28571,1
