ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,FT921-3939,NAIVE.TXT,0.64078,0.46154,0.53659,1
ROUGE-1,AP900912-0061,NAIVE.TXT,0.45545,0.48936,0.47179,1
ROUGE-1,AP890901-0154,NAIVE.TXT,0.45631,0.35878,0.40171,1
ROUGE-1,FT924-11880,NAIVE.TXT,0.31776,0.25564,0.28333,1
ROUGE-1,WSJ891030-0101,NAIVE.TXT,0.16514,0.32143,0.21818,1
ROUGE-1,SJMN91-06171095,NAIVE.TXT,0.64762,0.34694,0.45183,1
ROUGE-1,AP890525-0127,NAIVE.TXT,0.55769,0.26484,0.35913,1
ROUGE-1,FT931-2934,NAIVE.TXT,0.65714,0.43949,0.52672,1
ROUGE-1,AP890831-0158,NAIVE.TXT,0.59406,0.4878,0.53571,1
ROUGE-1,AP900714-0083,NAIVE.TXT,0.37143,0.32773,0.34821,1
ROUGE-1,SJMN91-06339143,NAIVE.TXT,0.45536,0.44348,0.44934,1
ROUGE-1,AP880711-0197,NAIVE.TXT,0.41905,0.25731,0.31884,1
ROUGE-1,WSJ891026-0063,NAIVE.TXT,0.375,0.26582,0.31111,1
ROUGE-1,AP900625-0289,NAIVE.TXT,0.69811,0.51389,0.592,1
ROUGE-1,SJMN91-06338157,NAIVE.TXT,0.66667,0.38596,0.48889,1
ROUGE-1,WSJ910228-0028,NAIVE.TXT,0.53774,0.36076,0.43182,1
ROUGE-1,SJMN91-06167046,NAIVE.TXT,0.27451,0.19048,0.2249,1
ROUGE-1,WSJ900718-0065,NAIVE.TXT,0.36036,0.36036,0.36036,1
ROUGE-1,WSJ890817-0069,NAIVE.TXT,0.35514,0.40426,0.37811,1
ROUGE-1,AP890322-0078,NAIVE.TXT,0.60185,0.45775,0.52,1
ROUGE-1,WSJ911227-0037,NAIVE.TXT,0.40187,0.344,0.37069,1
ROUGE-1,SJMN91-06052157,NAIVE.TXT,0.43119,0.46078,0.4455,1
ROUGE-1,WSJ870918-0042,NAIVE.TXT,0.51456,0.31928,0.39405,1
ROUGE-1,FT921-8958,NAIVE.TXT,0.55208,0.26108,0.35452,1
ROUGE-1,AP891125-0090,NAIVE.TXT,?,?,0,0
ROUGE-1,AP890228-0019,NAIVE.TXT,0.53125,0.43966,0.48113,1
ROUGE-1,WSJ880701-0160,NAIVE.TXT,0.1383,0.22414,0.17105,1
ROUGE-1,SJMN91-06134118,NAIVE.TXT,0.32353,0.21429,0.25781,1
ROUGE-1,SJMN91-06317223,NAIVE.TXT,0.48515,0.32886,0.392,1
ROUGE-1,AP890127-0271,NAIVE.TXT,0.65385,0.27755,0.38968,1
ROUGE-1,AP890814-0049,NAIVE.TXT,0.39669,0.43636,0.41558,1
ROUGE-1,FT924-11508,NAIVE.TXT,0.64865,0.40223,0.49655,1
ROUGE-1,AP890914-0207,NAIVE.TXT,0.45631,0.30323,0.36434,1
ROUGE-1,FT941-15870,NAIVE.TXT,0.43011,0.17621,0.25,1
ROUGE-1,SJMN91-06154062,NAIVE.TXT,?,?,0,0
ROUGE-1,WSJ911016-0124,NAIVE.TXT,0.32,0.32323,0.32161,1
ROUGE-1,AP890519-0070,NAIVE.TXT,0.56311,0.37179,0.44788,1
