ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,FT921-3939,NAIVE.TXT,0.54369,0.43411,0.48276,1
ROUGE-1,AP900912-0061,NAIVE.TXT,0.47525,0.29448,0.36364,1
ROUGE-1,AP890901-0154,NAIVE.TXT,0.64078,0.37079,0.46975,1
ROUGE-1,FT924-11880,NAIVE.TXT,0.33645,0.29752,0.31579,1
ROUGE-1,WSJ891030-0101,NAIVE.TXT,0.2844,0.41333,0.33696,1
ROUGE-1,SJMN91-06171095,NAIVE.TXT,0.4,0.28188,0.33071,1
ROUGE-1,AP890525-0127,NAIVE.TXT,0.43269,0.30612,0.35857,1
ROUGE-1,FT931-2934,NAIVE.TXT,0.70476,0.45963,0.55639,1
ROUGE-1,AP890831-0158,NAIVE.TXT,0.31683,0.35165,0.33333,1
ROUGE-1,AP900714-0083,NAIVE.TXT,0.53333,0.33333,0.41026,1
ROUGE-1,SJMN91-06339143,NAIVE.TXT,0.49107,0.51887,0.50459,1
ROUGE-1,AP880711-0197,NAIVE.TXT,0.47619,0.30303,0.37037,1
ROUGE-1,WSJ891026-0063,NAIVE.TXT,0.36607,0.25466,0.30037,1
ROUGE-1,AP900625-0289,NAIVE.TXT,0.76415,0.52258,0.62069,1
ROUGE-1,SJMN91-06338157,NAIVE.TXT,0.71717,0.45806,0.55906,1
ROUGE-1,WSJ910228-0028,NAIVE.TXT,0.33962,0.24161,0.28235,1
ROUGE-1,SJMN91-06167046,NAIVE.TXT,0.47059,0.24615,0.32323,1
ROUGE-1,WSJ900718-0065,NAIVE.TXT,0.42342,0.33571,0.3745,1
ROUGE-1,WSJ890817-0069,NAIVE.TXT,0.42991,0.35659,0.38983,1
ROUGE-1,AP890322-0078,NAIVE.TXT,0.37037,0.42105,0.39409,1
ROUGE-1,WSJ911227-0037,NAIVE.TXT,0.36449,0.195,0.25407,1
ROUGE-1,SJMN91-06052157,NAIVE.TXT,0.58716,0.36994,0.4539,1
ROUGE-1,WSJ870918-0042,NAIVE.TXT,0.58252,0.24,0.33994,1
ROUGE-1,FT921-8958,NAIVE.TXT,0.51042,0.23445,0.32131,1
ROUGE-1,AP891125-0090,NAIVE.TXT,?,?,0,0
ROUGE-1,AP890228-0019,NAIVE.TXT,0.16667,0.45714,0.24427,1
ROUGE-1,WSJ880701-0160,NAIVE.TXT,0.2766,0.18571,0.22222,1
ROUGE-1,SJMN91-06134118,NAIVE.TXT,0.28431,0.22137,0.24893,1
ROUGE-1,SJMN91-06317223,NAIVE.TXT,0.60396,0.30049,0.40132,1
ROUGE-1,AP890127-0271,NAIVE.TXT,0.73077,0.31667,0.44186,1
ROUGE-1,AP890814-0049,NAIVE.TXT,0.17355,0.44681,0.25,1
ROUGE-1,FT924-11508,NAIVE.TXT,0.53153,0.2823,0.36875,1
ROUGE-1,AP890914-0207,NAIVE.TXT,0.6699,0.42073,0.51685,1
ROUGE-1,FT941-15870,NAIVE.TXT,0.60215,0.21374,0.31549,1
ROUGE-1,SJMN91-06154062,NAIVE.TXT,?,?,0,0
